id,crime,unemp,pop
23226,1348,1906,78394
23227,706,951,41351
23228,1228,1310,47926
23229,1393,1365,68285
23230,1465,1327,78591
23231,557,995,66390
23232,830,1610,65556
23233,1455,1627,63358
23234,2003,2314,78078
23235,874,1080,42575
23236,1140,828,56252
23237,1577,2378,85307
23302,726,737,39384
23304,1062,880,46493
23342,429,436,13565
23361,487,446,21602
23362,574,778,32535
23424,534,812,28501
23425,728,884,36750
23427,219,69,4369
23441,420,569,24577
23442,682,1076,48046
23445,216,370,21909
23446,406,524,26294
23447,478,985,40981
23481,277,517,24068
23482,300,399,22041
23483,111,260,12802
23501,505,635,35596
23561,22,88,6306
23562,12,53,4347
23563,4,13,1517
24201,3926,7872,288538
24202,5343,6810,303845
24203,1764,3649,134973
24204,2226,4257,168973
24205,2123,3225,138963
24207,4015,4296,193114
24208,666,2328,82156
24209,138,573,22103
24210,494,1047,49253
24211,221,430,23067
24212,202,541,21230
24214,473,889,46446
24215,430,1718,58225
24216,1101,2612,100623
24303,92,197,6965
24324,185,560,25897
24341,396,875,38986
24343,139,151,7114
24344,375,361,13048
24441,152,336,15793
24442,273,529,22618
24443,70,207,11099
24461,150,329,14888
24470,59,173,9057
24471,39,238,10788
24472,125,405,16687
24543,166,530,19963
24561,66,211,9903
24562,92,372,12648
25201,3898,8791,323719
25202,1509,2755,109779
25203,1006,2710,124498
25204,1009,2189,80610
25206,2056,3005,121159
25207,814,1703,70823
25208,630,1635,59869
25209,919,1693,93853
25210,494,1169,49486
25211,531,1361,55325
25212,356,1247,53950
25213,1119,2547,116797
25214,273,789,41009
25383,150,471,22809
25384,89,239,13280
25425,184,520,19729
25441,93,393,7418
25442,72,311,8103
25443,53,209,8145
26100,29864,46613,1474811
26201,1040,2068,81977
26202,1036,2383,91733
26203,328,771,37755
26204,2554,5853,189591
26205,160,482,21512
26206,1119,2830,93996
26207,843,2428,81636
26208,836,2008,55041
26209,986,2347,78335
26210,1229,2705,74252
26211,1123,1773,64008
26212,443,1205,62723
26213,385,827,36736
26214,809,1849,63649
26303,157,517,15191
